"name","display_name","category","description","status","is_system"
"return_dental_payment","Return Dental Payment","Dental","Mark a paid dental receipt unpaid from the desk itself","active","True"
"set_dental_fee","Set Dental Fee","Dental","Change the fee on a dental receipt; without it the catalogue price applies","active","True"
"take_dental_payment","Take Dental Payment","Dental","Collect payment from the Dental desk itself","active","True"
"return_ecg_payment","Return ECG Payment","Radiology","Mark a paid ECG receipt unpaid from the desk itself","active","True"
"return_xray_payment","Return X-Ray Payment","Radiology","Mark a paid X-Ray receipt unpaid from the desk itself","active","True"
"set_ecg_fee","Set ECG Fee","Radiology","Change the fee on an ECG receipt; without it the catalogue price applies","active","True"
"set_xray_fee","Set X-Ray Fee","Radiology","Change the fee on an X-Ray receipt; without it the catalogue price applies","active","True"
"take_ecg_payment","Take ECG Payment","Radiology","Collect payment from the ECG desk itself","active","True"
"take_xray_payment","Take X-Ray Payment","Radiology","Collect payment from the X-Ray desk itself","active","True"
"view_reports_ecg","Reports: ECG","Reports","Studies performed and fees collected at the ECG desk","active","True"
"return_ultrasound_payment","Return Ultrasound Payment","Ultrasound","Mark a paid ultrasound receipt unpaid from the desk itself","active","True"
"take_ultrasound_payment","Take Ultrasound Payment","Ultrasound","Collect payment from the Ultrasound desk itself","active","True"
