"name","display_name","category","description","status","is_system"
"manage_dental_payments","Collect Dental Payment","Cash Collection","Take payment against a dental receipt","active","True"
"reverse_dental_payment","Reverse Dental Payment","Cash Collection","Undo a dental payment already taken","active","True"
"view_dashboard_count_dental","Dashboard: Dental Count","Dashboard","See the dental receipt count on the dashboard","active","True"
"view_dashboard_dental_fees","Dashboard: Dental Fees","Dashboard","See dental income on the dashboard","active","True"
"add_dental_receipts","Add Dental Receipt","Dental","Raise a new dental receipt","active","True"
"add_dental_services","Add Dental Service","Dental","Create a new dental service","active","True"
"delete_dental_receipts","Delete Dental Receipt","Dental","Remove a dental receipt","active","True"
"delete_dental_services","Delete Dental Service","Dental","Remove a dental service from the catalogue","active","True"
"edit_dental_receipts","Edit Dental Receipt","Dental","Change an existing dental receipt","active","True"
"edit_dental_services","Edit Dental Service","Dental","Change an existing dental service","active","True"
"manage_dental_receipts","Manage Dental Receipts","Dental","Full control of dental receipts","active","True"
"manage_dental_services","Manage Dental Services","Dental","Full control of the dental service catalogue","active","True"
"print_dental_receipt","Print Dental Receipt","Dental","Print a dental receipt","active","True"
"view_dental_receipts","View Dental Receipts","Dental","See the dental receipts list","active","True"
"view_dental_services","View Dental Services","Dental","See the dental service catalogue","active","True"
"add_xray_types","Add X-Ray Types","Radiology","Create a new X-Ray study","active","True"
"delete_xray_types","Delete X-Ray Types","Radiology","Remove an X-Ray study from the catalogue","active","True"
"edit_xray_types","Edit X-Ray Types","Radiology","Change an existing X-Ray study","active","True"
"manage_xray_types","Manage X-Ray Types","Radiology","Full control of the X-Ray study catalogue","active","True"
"view_xray_types","View X-Ray Types","Radiology","See the X-Ray study catalogue","active","True"
"backdate_receipts","Change Receipt Date","Settings","Set a receipt to a date other than today (Ultrasound, X-Ray, Dental)","active","True"
"manage_default_discounts","Manage Default Discounts","Settings","Set the standing discount applied to new surgery, lab, ultrasound, X-Ray and dental receipts","active","True"
